feature,domain,ic_1bar,p_1bar,n_1bar,ic_3bar,p_3bar,n_3bar,ic_6bar,p_6bar,n_6bar,ic_12bar,p_12bar,n_12bar,best_horizon,best_ic
V_hurstExponent_63_rat_N,Volatility,0.02588512960889997,0.057768246730624404,5374,0.06401116173779246,0.006731289181338284,1791,0.10686150219339356,0.0013665176710432369,895,0.12479161202808385,0.008257982140252142,447,12,0.12479161202808385
V_volMomentum_6_pct_N,Volatility,0.0032204967383490934,0.812489268323782,5428,0.0103439881055616,0.6601821554331851,1809,-0.006239505759335112,0.8513917628075608,904,-0.10456410851503356,0.02621547891141205,452,12,-0.10456410851503356
V_hurstExponent_126_rat_N,Volatility,0.023210235205941114,0.09077706032835761,5311,0.031168371314247257,0.18996316479831932,1770,0.05699771669537316,0.09015066979934681,885,0.09278231174393703,0.051257306851132625,442,12,0.09278231174393703
M_T_V_adx_12_bnd_N,Volatility,0.03034710346460704,0.02525567446522403,5436,0.06476435750198685,0.005831761170479781,1811,0.0919116449504809,0.005656861778635495,905,0.0545236493479947,0.24733791795459265,452,6,0.0919116449504809
S_M_longShortChange_3_pct_N,Sentiment,-0.02375985670249538,0.09337159157126111,4988,-0.02455580411789017,0.3172242637601691,1661,-0.052708378728362745,0.12919602143052114,830,-0.0879756484130502,0.07341098020169808,415,12,-0.0879756484130502
S_longShortRatio_rat_N,Sentiment,-0.020820966375736116,0.14128441321671903,4993,-0.01916018025310457,0.43489993156611084,1663,-0.03701719432666824,0.286197957045677,832,-0.08752095214096774,0.07456418013132157,416,12,-0.08752095214096774
M_T_V_adx_6_bnd_N,Volatility,0.011393731557031422,0.4009727707757407,5436,0.03072870027160134,0.19118160524790873,1811,0.08592991264417242,0.009702357843678183,905,0.0019301108335576006,0.9673587709388773,452,6,0.08592991264417242
C_N_lowerShadow_bnd_N,Candlestick,-0.012030929992352926,0.3751106855350679,5437,0.004338490262562758,0.853580031956409,1812,-0.03143911766301129,0.34453665183026816,906,-0.08338262645294763,0.07624793489349742,453,12,-0.08338262645294763
F_I_M_fundingMaDiff_7_21_pct_N,Funding,-0.01282798515787809,0.3442985947997095,5437,-0.006671406909188917,0.7765690763276376,1812,-0.05472942941329681,0.0997006816340817,906,-0.0829435840480029,0.0778133912690599,453,12,-0.0829435840480029
S_N_longShortZscore_21_zsc_N,Sentiment,-0.024020102677756918,0.0909718693791719,4953,-0.03068542561135648,0.21270028107135364,1651,-0.0558566709457206,0.10868006813268123,826,-0.07793479197776228,0.1137802381217558,413,12,-0.07793479197776228
C_N_bodySize_bnd_N,Candlestick,0.002175417949134013,0.8725896523705698,5437,0.009375941064816002,0.6900077121444677,1812,0.025058580914435503,0.4512479643049194,906,0.07547038043260774,0.10868173064259766,453,12,0.07547038043260774
L_M_S_mfi_6_bnd_N,Volume,0.0012798089631179137,0.9259595661427157,5275,0.0022066814518257316,0.9261676379012165,1766,0.03235348310457308,0.3385641886271511,877,0.07135866704219826,0.13639600424745843,437,12,0.07135866704219826
S_N_longShortZscore_63_zsc_N,Sentiment,-0.0250069460454345,0.08102578602787791,4869,-0.02175508212951963,0.3811039966500871,1623,-0.04967909950126574,0.15726532469816834,812,-0.06597524528559012,0.1846041300005267,406,12,-0.06597524528559012
D_N_markCloseDeviation_pct_N,Other,-0.020411401280574563,0.13235850328327828,5437,-0.003915179109339968,0.8677277703161049,1812,0.061605162962991476,0.06380988189409474,906,0.06174017166102375,0.18962601817975921,453,12,0.06174017166102375
L_M_N_volumeRoc_3_pct_N,Volume,0.006309625448278233,0.6419200762731773,5434,0.0034974797480893625,0.8817620333504028,1811,0.0008496138619215175,0.9796371662504013,905,0.06158434901414648,0.1912410666913272,452,12,0.06158434901414648
M_P_roc_3_pct_N,Momentum,-0.04259408348285697,0.00168628459463906,5434,-0.05920784082233306,0.01173178213957884,1811,0.005155447653690273,0.8769166053147066,905,-0.012152434183844322,0.7966705575690578,452,3,-0.05920784082233306
V_volOfVol_12_pct_N,Volatility,-0.0012977156692011848,0.9239044467196718,5420,-0.010363690220037056,0.6598406096110079,1806,0.002952438362715495,0.9294014365161513,903,-0.0591312651662317,0.2100716219450245,451,12,-0.0591312651662317
M_N_rsi_6_bnd_N,Oscillator,-0.011949435577766678,0.38237647574427613,5346,-0.009519810989378047,0.6878998327901746,1783,0.03443857742409233,0.30395213176177727,893,0.05862991125448117,0.2149941469217707,449,12,0.05862991125448117
